x y
0 2.040264571724807
1 1.3317709380521447
2 0.0875118971634854
3 -1.1470206929324331
4 -1.6346033238654378
5 -3.2904042052949913
6 -4.195369456195906
7 -5.055711405065779
8 -6.209947557543771
9 -7.289259280058541
10 -7.505108832508291
11 -8.946499563781845
12 -9.99351791639297
13 -11.305685625442354
14 -11.719428104717379
15 -13.447160693141802
16 -13.767999930695469
17 -15.263007889472943
18 -15.709296168290747
19 -16.75596270782089
20 -17.933505380516795
21 -18.561632788454812
22 -20.105493776927595
23 -20.97145099038836
24 -22.104208353239795
25 -23.28136181321096
26 -24.40384543899097
27 -25.104871775649464
28 -26.115635920699273
29 -27.53743226740247
30 -28.538320349920827
31 -29.351186845263026
32 -29.902013344155073
33 -30.868769704464373
34 -32.06002553675835
35 -32.809720836967365
36 -33.949012254422534
37 -35.65587659680709
38 -35.64324711113427
39 -37.15426187970657
40 -38.016407999548406
41 -38.40757212661136
42 -39.956765612675355
43 -41.25420787938812
44 -41.95303461820144
45 -43.43175467984277
46 -44.36769642600082
47 -44.942234930082996
48 -46.43771594630359
49 -47.00252470991332
