x y
0 10.804663868816924
1 11.404597155099225
2 12.313315363637395
3 12.184555948423585
4 12.732770517817869
5 13.389541335015258
6 13.761684514429959
7 14.684253112982262
8 15.114017126028093
9 15.378279592549136
10 16.381627265468193
11 16.38524561387097
12 17.070852956278156
13 16.898206296147066
14 17.738664734695423
15 18.6757259489443
16 19.291096258252786
17 19.65165833600299
18 20.069991577437772
19 20.52739554314229
20 20.84509715271899
21 21.541101164524598
22 21.86632036938506
23 22.355525151997444
24 22.848657320085234
25 -26.525142054605322
26 23.615863345663836
27 24.231967601597958
28 25.15130062264425
29 25.15716468012578
30 25.777402875439794
31 26.26418263677877
32 26.884713652702523
33 27.110427364873377
34 28.432701226956056
35 28.54430613920299
36 29.16000227888789
37 29.578328888553116
38 29.92678995036036
39 30.624062254067862
40 31.167257368033127
41 31.45371875309579
42 31.8502302130566
43 32.5615590583054
44 33.33759957553106
45 33.56736460483114
46 33.93179619591927
47 34.531350447008506
48 34.593126821481654
49 85.32844062779913
